bkg1696183712.0 all_bkg
233707134.0 IsoMu24
144532539.0 Mu50
189730016.0 Ele27_WPTight_Gsf
4522508.96875 Photon200
7316635.1875 Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT350MinPFJet15
25887084.0 AK8PFJet400_TrimMass30
10563564.75 AK8PFJet500
82829.83349609375 AK8PFJetFwd400
7057101.875 PFJet500
11761835.875 PFHT1050
88672097.5 PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2
66181037.5 PFHT300PT30_QuadPFJet_75_60_45_40_TriplePFBTagCSV_3p0
40674971.0 QuadPFJet103_88_75_15_DoubleBTagCSV_p013_p08_VBF1
18078991.5 DoublePFJets116MaxDeta1p6_DoubleCaloBTagCSV_p33
12501782.4375 DoubleEle33_CaloIdL_MW
11999281.875 DiEle27_WPTightCaloOnly_L1DoubleEG
20674326.25 Ele23_Ele12_CaloIdL_TrackIdL_IsoVL
11850187.8125 DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350
817254.36328125 ECALHT800
4859350.09375 DoubleL2Mu50
63618832.5 Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8
18968031.625 Mu37_TkMu27
2506983.0 DoubleMu20_7_Mass0to30_Photon23
27129531.5 DoubleMu8_Mass8_PFHT350
1264535.455078125 CaloMET350_HBHECleaned
19884682.375 DiJet110_35_Mjj650_PFMET110
26886563.75 MET105_IsoTrk50
98987173.0 PFMET100_PFMHT100_IDTight_CaloBTagCSV_3p1
4947702.15625 PFMET250_HBHECleaned
2484895.0 TripleJet110_35_35_Mjj650_PFMET110
424298588.0 single_lepton
96601673.0 double_lepton
26295711.25 jet
11761835.875 HT
161755622.0 multibtag
11496780.75 photon
127348106.0 met
