bkg94890167296.0 all_bkg
13095359360.0 IsoMu24
1498780144.0 Mu50
9501904768.0 Ele27_WPTight_Gsf
11304912.1875 Photon200
10802471.640625 Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT350MinPFJet15
11053691.828125 AK8PFJet400_TrimMass30
6029286.546875 AK8PFJet500
502440.53125 AK8PFJetFwd400
5024405.453125 PFJet500
2763423.015625 PFHT1050
251220.265625 PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2
502440.53125 PFHT300PT30_QuadPFJet_75_60_45_40_TriplePFBTagCSV_3p0
502440.53125 QuadPFJet103_88_75_15_DoubleBTagCSV_p013_p08_VBF1
251220.265625 DoublePFJets116MaxDeta1p6_DoubleCaloBTagCSV_p33
9546370.28125 DoubleEle33_CaloIdL_MW
20851282.515625 DiEle27_WPTightCaloOnly_L1DoubleEG
33161076.9375 Ele23_Ele12_CaloIdL_TrackIdL_IsoVL
3014643.234375 DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350
-251220.265625 ECALHT800
4270744.546875 DoubleL2Mu50
28387891.5 Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8
6782947.28125 Mu37_TkMu27
0.0 DoubleMu20_7_Mass0to30_Photon23
3768304.046875 DoubleMu8_Mass8_PFHT350
2512202.75 CaloMET350_HBHECleaned
36175720.71875 DiJet110_35_Mjj650_PFMET110
75868524.5 MET105_IsoTrk50
54514801.75 PFMET100_PFMHT100_IDTight_CaloBTagCSV_3p1
9295150.0 PFMET250_HBHECleaned
2763422.953125 TripleJet110_35_35_Mjj650_PFMET110
22614346496.0 single_lepton
98227125.0 double_lepton
12309793.40625 jet
2763423.015625 HT
753660.8125 multibtag
21856163.609375 photon
162288294.0 met
