4B1366.0 all_4B
76.0 IsoMu24
32.0 Mu50
64.0 Ele27_WPTight_Gsf
1.0 Photon200
1.0 Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT350MinPFJet15
8.0 AK8PFJet400_TrimMass30
5.0 AK8PFJet500
0.0 AK8PFJetFwd400
4.0 PFJet500
3.0 PFHT1050
3.0 PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2
4.0 PFHT300PT30_QuadPFJet_75_60_45_40_TriplePFBTagCSV_3p0
3.0 QuadPFJet103_88_75_15_DoubleBTagCSV_p013_p08_VBF1
0.0 DoublePFJets116MaxDeta1p6_DoubleCaloBTagCSV_p33
0.0 DoubleEle33_CaloIdL_MW
0.0 DiEle27_WPTightCaloOnly_L1DoubleEG
0.0 Ele23_Ele12_CaloIdL_TrackIdL_IsoVL
1.0 DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350
0.0 ECALHT800
0.0 DoubleL2Mu50
11.0 Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8
1.0 Mu37_TkMu27
0.0 DoubleMu20_7_Mass0to30_Photon23
4.0 DoubleMu8_Mass8_PFHT350
0.0 CaloMET350_HBHECleaned
3.0 DiJet110_35_Mjj650_PFMET110
4.0 MET105_IsoTrk50
16.0 PFMET100_PFMHT100_IDTight_CaloBTagCSV_3p1
0.0 PFMET250_HBHECleaned
0.0 TripleJet110_35_35_Mjj650_PFMET110
141.0 single_lepton
12.0 double_lepton
8.0 jet
3.0 HT
10.0 multibtag
2.0 photon
18.0 met
