4B5068.0 all_4B
8.0 IsoMu24
94.0 Mu50
0.0 Ele27_WPTight_Gsf
70.0 Photon200
10.0 Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT350MinPFJet15
30.0 AK8PFJet400_TrimMass30
1.0 AK8PFJet500
4.0 AK8PFJetFwd400
0.0 PFJet500
0.0 PFHT1050
266.0 PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2
304.0 PFHT300PT30_QuadPFJet_75_60_45_40_TriplePFBTagCSV_3p0
510.0 QuadPFJet103_88_75_15_DoubleBTagCSV_p013_p08_VBF1
224.0 DoublePFJets116MaxDeta1p6_DoubleCaloBTagCSV_p33
4.0 DoubleEle33_CaloIdL_MW
1.0 DiEle27_WPTightCaloOnly_L1DoubleEG
3.0 Ele23_Ele12_CaloIdL_TrackIdL_IsoVL
19.0 DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350
0.0 ECALHT800
2.0 DoubleL2Mu50
34.0 Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8
22.0 Mu37_TkMu27
3.0 DoubleMu20_7_Mass0to30_Photon23
90.0 DoubleMu8_Mass8_PFHT350
0.0 CaloMET350_HBHECleaned
58.0 DiJet110_35_Mjj650_PFMET110
1.0 MET105_IsoTrk50
92.0 PFMET100_PFMHT100_IDTight_CaloBTagCSV_3p1
1.0 PFMET250_HBHECleaned
1.0 TripleJet110_35_35_Mjj650_PFMET110
99.0 single_lepton
62.0 double_lepton
34.0 jet
0.0 HT
995.0 multibtag
78.0 photon
134.0 met
