4B1405.0 all_4B
2.0 IsoMu24
40.0 Mu50
1.0 Ele27_WPTight_Gsf
54.0 Photon200
4.0 Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT350MinPFJet15
613.0 AK8PFJet400_TrimMass30
333.0 AK8PFJet500
0.0 AK8PFJetFwd400
291.0 PFJet500
295.0 PFHT1050
155.0 PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2
136.0 PFHT300PT30_QuadPFJet_75_60_45_40_TriplePFBTagCSV_3p0
189.0 QuadPFJet103_88_75_15_DoubleBTagCSV_p013_p08_VBF1
82.0 DoublePFJets116MaxDeta1p6_DoubleCaloBTagCSV_p33
1.0 DoubleEle33_CaloIdL_MW
0.0 DiEle27_WPTightCaloOnly_L1DoubleEG
2.0 Ele23_Ele12_CaloIdL_TrackIdL_IsoVL
8.0 DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350
38.0 ECALHT800
1.0 DoubleL2Mu50
13.0 Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8
9.0 Mu37_TkMu27
2.0 DoubleMu20_7_Mass0to30_Photon23
35.0 DoubleMu8_Mass8_PFHT350
3.0 CaloMET350_HBHECleaned
122.0 DiJet110_35_Mjj650_PFMET110
0.0 MET105_IsoTrk50
90.0 PFMET100_PFMHT100_IDTight_CaloBTagCSV_3p1
6.0 PFMET250_HBHECleaned
2.0 TripleJet110_35_35_Mjj650_PFMET110
43.0 single_lepton
24.0 double_lepton
642.0 jet
295.0 HT
403.0 multibtag
58.0 photon
144.0 met
